,loss,val_loss
0,"[2.688156695742356, 2.2239039603032564, 2.1019583250346936, 2.0619804733677913, 2.0304563578806425, 1.932238840743115, 1.8965287851659876, 1.858905376572358, 1.848398959950397, 1.8270913942864067, 1.839458489104321, 1.8374649898002022, 1.8080126956889504, 1.7638019291978133, 1.7827450256598623, 1.7280183481542688, 1.7352360518355119, 1.7733369312788312, 1.6943714728480892, 1.6986502581521083, 1.696099960490277, 1.6916380038386898, 1.662890181729668, 1.6643187419364327, 1.719455378620248, 1.6623397500891435, 1.6474619288193553, 1.6374219718732332, 1.664933880693034, 1.6498535134290393, 1.6610174524156671, 1.7954375069392354, 1.6495609110907505, 1.6079010743843882, 1.584001101945576, 1.5962892174720764, 1.6394169597249282, 1.5856915853525464, 1.608445727511456, 1.6184035225918418, 1.599070309024108, 1.5956543668320304, 1.5765488806523775, 1.5864140940339941, 1.6200342288142757, 1.5986717123734324, 1.6084573017923456, 1.5593661838456203, 1.5764263099745701, 1.5461185590216988, 1.6071125959095203, 1.5957740764868886, 1.571185571582694, 1.5533823810125653, 1.5395293988679584, 1.5414072400645207, 1.5465762066213709, 1.5557914721338373, 1.5351348331100063, 1.5621032981496108, 1.612712932260413, 1.5823096272192503, 1.5417301152881824, 1.5873553439190513, 1.5010755344441062, 1.5147095463777844, 1.50694225336376]","[2.2637230859738646, 2.0071642610514275, 2.0960529474454503, 2.1616045983038217, 2.102605895461323, 2.135029035193898, 2.1437978655378394, 1.9629390484818787, 1.9091237861419392, 1.9073514548417563, 1.9287641650048373, 1.9648510217666626, 1.918839172782185, 1.9588429370773173, 1.8974664946582829, 1.88325550177387, 2.066453024605724, 1.9515626709037852, 1.9012389517276087, 1.9104662609991627, 1.9957403000270095, 1.890100014543979, 1.8569060987401231, 1.9269153603883546, 1.9958914239829946, 1.9045323211456013, 1.785953461566818, 1.7596519249621954, 1.7358844391653472, 1.8181560462880357, 1.7491631507873535, 1.9899074864164692, 1.9772552530342173, 1.9119924139753681, 1.92364937902611, 1.786701875312306, 1.7984466441323823, 1.727921731004091, 1.860648235427999, 1.7532741031914114, 1.7901747248997197, 1.8340925780412192, 2.020099687799115, 1.7966891415765351, 1.8035286520129052, 1.8064517005581722, 1.6798338032214442, 1.7310880745682762, 1.7451362175362133, 1.7620038217473253, 1.8934466571451347, 1.9415777765701865, 1.8307073951881623, 1.9230020246773123, 1.8585420835798032, 1.758801597301091, 1.9449170839006655, 1.75840593721265, 1.6769150306131237, 2.178639886535217, 1.7728932516597142, 1.6968733317384095, 1.8292677825856432, 1.815735604161414, 1.8288575856485099, 1.722380009767051, 1.719287472350575]"
1,"[1.5537228788200177, 1.547746247366855, 1.5543291976577358, 1.5972696150604047, 1.649612097363723, 1.576580579343595, 1.5300083772132271, 1.5295580452994297, 1.5307295934150094, 1.5379292651226646, 1.5364467046762769, 1.5288989120408107, 1.5171346523259814, 1.5405731201171875, 1.5452109951721995, 1.51797060433187, 1.499509483575821, 1.5062344780093746, 1.532425017733323, 1.5057957595900486, 1.498914117875852, 1.5315646058634709, 1.522211459122206, 1.5062327651601088, 1.5407480017135018, 1.515768427597849, 1.5056443261472803, 1.4798192758309214, 1.481072237617091, 1.4884077875237716, 1.4913057402560586, 1.5537519251045429, 1.5373628406148208, 1.492957730042307, 1.488949477672577, 1.4661874629949267, 1.4932239871276052]","[1.7977179032619868, 1.817611599636969, 1.8944354826044814, 1.8816693932096535, 1.76867039849825, 1.7419702806205393, 1.7857824263171616, 1.7078485789700089, 1.7665669193891722, 1.7503432224844104, 1.765180678011101, 1.7299257940221056, 1.752120555004227, 1.9396131194640542, 1.9114483338650141, 1.6963365211665073, 1.684894821354162, 1.8959333807508523, 1.7454195523930487, 1.9414888520107092, 1.7915776745181218, 1.7120241584064804, 1.8304622730362081, 1.683638509188857, 1.9053514226574764, 1.6582801431138938, 1.7376390327917082, 1.7854364531062474, 1.7553572387338798, 1.7864900170085587, 1.9062652131107365, 1.8329796969333543, 1.9310681697364165, 1.6724055147616663, 1.7570612865073658, 1.6768047074291195, 1.6827221139569148]"
2,"[1.528334473308764, 1.5139996707439423, 1.523022992046256, 1.524542996757909, 1.5295479783886357, 1.5103319099074917, 1.4851019084453583, 1.486541559821681, 1.5034326628634804, 1.5056936897729571, 1.5227630075655485, 1.53274341947154, 1.504638273465006, 1.505582702787299, 1.5041983864809338, 1.4898358363854258, 1.4768633026825755, 1.491610928585655, 1.4755672655607526, 1.488803190620322, 1.5031773447990417]","[1.7221586860228921, 1.787654491228478, 1.8134604703600161, 1.7109295965355134, 1.9943338153518249, 1.7199940402931142, 1.6805596463034087, 1.7760472988413873, 1.7857548265813667, 1.7551975562193682, 1.7945071146866987, 1.7134384763575046, 1.7682937651037056, 1.7579193661146075, 1.8155515037964438, 1.7208374727552183, 1.7274968546127605, 1.7328240826865222, 1.7590118434941657, 1.7209339342384695, 1.8226752559715342]"
3,"[1.5068371641008478, 1.4940789247813977, 1.5715920783971484, 1.5296827774298818, 1.5081096667992442, 1.535332268790195, 1.4946437211413133, 1.486387910027253, 1.5090283892656629, 1.4864896535873413, 1.4845804650532572, 1.520817794297871, 1.5165773708569377, 1.4528367237040871, 1.4641726205223484, 1.4647766822262813, 1.4834602992785604, 1.4530967081847943, 1.4772005943875564, 1.5001037089448226, 1.5013572589347237]","[1.714865703449071, 1.8172421600217017, 1.8038677612197733, 1.7565067638860685, 1.8234142544113587, 1.827984558087643, 1.7158141648657967, 1.9709051279264076, 1.7326821701548925, 1.7661104592207437, 1.812511634603839, 1.8533698331529849, 1.7552779233344247, 1.7776392586877412, 1.7499746340457525, 1.7006531931529536, 1.7594330533642635, 1.8834121795458214, 1.827011347931122, 1.960219942520712, 1.9134264549362325]"
4,"[1.5646704074583555, 1.5138485964975859, 1.5507222680669082, 1.4867781698703766, 1.5029448004145372, 1.5476946469984556, 1.527567678376248, 1.5188596342739307, 1.4992575284681822, 1.542908820666765, 1.4912427961826324, 1.4789839104602212, 1.46310461822309, 1.5154005100852566, 1.4812576676669873, 1.4708420069594133, 1.4538086448845111, 1.4828654010044902, 1.4669523270506608, 1.476386678846259, 1.478434909331171, 1.4717550387507992, 1.4674622181214785, 1.462077371383968, 1.4578422904014587, 1.4651024859202535, 1.4717791033418555, 1.4621683406202417, 1.4492613061478263, 1.42792146927432, 1.4549377701784436]","[1.7886009394565476, 1.7291439682523781, 1.7892745878094825, 1.8100281285348339, 1.806561213787471, 1.7494143771233959, 1.7921956343071483, 1.8902090487079086, 1.791799947480175, 1.784866115757238, 1.6532242877461085, 1.686679666287431, 1.8007189592468404, 1.7325705278699643, 1.728068118897554, 1.7945841628814412, 1.7175583761429118, 1.749879520630168, 1.7829474879202443, 1.798557194593911, 1.7876202636790053, 1.7226051983432236, 1.6600051472120196, 1.638921863564821, 1.7152920649430463, 1.7831421867709294, 1.8601015884185506, 1.8777868970532283, 1.7558457483755094, 1.693061058766374, 1.6938546305504916]"
5,"[1.490782817727641, 1.4937272103209245, 1.5160234429334338, 1.4561809771939327, 1.488224324427153, 1.4678023771235817, 1.4737673103809357, 1.5472425975297626, 1.4725887242116427, 1.4991451407733716, 1.4434298449441005, 1.4898225476867275, 1.470344049365897, 1.4690086025940745, 1.4387512018806057, 1.4777911509338177, 1.4417897964778699, 1.4346166378573368, 1.459255770633095, 1.45944408052846, 1.4445506240192212, 1.4526385445343821, 1.4402307695464085, 1.4407084897944802]","[1.9672486158174889, 1.7146377507771287, 1.6795172423959892, 1.6539369632150525, 1.8862582779376307, 1.7246013411851686, 1.7423350744158308, 1.878815610832143, 1.7493482471626496, 1.8463751578999457, 1.7349231878173685, 1.7996088299795845, 1.6644020147412737, 1.6455691573775817, 1.6613049384589507, 1.733983953422475, 1.8532589217212712, 1.6686114551865052, 1.6622639760792812, 1.708278342942211, 1.653079172161138, 1.8122237564247345, 1.7457217902780693, 1.7147689901779746]"
6,"[1.5073257935674567, 1.4942855003632998, 1.4917410721904354, 1.49715981828539, 1.4735472155244727, 1.4935791194438934, 1.4629266920842623, 1.4577305034587258, 1.4615174908387034, 1.4718264325668937, 1.452565770400198, 1.4706492894574215, 1.458113830340536, 1.5202802466718774, 1.445495439203162, 1.455236665512386, 1.433354769882403, 1.4569930073462034, 1.4864736450345892, 1.4777300938179618, 1.4783497468421334, 1.4843989783211757, 1.4519621322029514, 1.4451349565857334, 1.4884149824318134, 1.4571404190439927, 1.4012493444116492]","[1.7209983763293686, 1.7805136497889724, 1.7592614777734346, 1.7361398378265238, 1.7569316692441423, 1.6760216828818633, 1.6552276388507023, 1.7348051561373417, 1.786870564255759, 1.8986354141591866, 1.9384624534678236, 1.815138455863311, 1.707964816940165, 1.7619882521228256, 1.80215590690898, 1.775779353123959, 1.9708212224122519, 1.7552793326778946, 1.6901538784258834, 1.8770278090628507, 1.7373405550127832, 2.155473183248645, 1.7496780067960793, 2.0568440294711388, 1.9616953379639954, 1.789310602384193, 1.6864916119620064]"
7,"[1.443704305510772, 1.4457843115455227, 1.4306259861117916, 1.4349385405841626, 1.4596052154114372, 1.4481917776559527, 1.4835436877451444, 1.434697079031091, 1.440279615552802, 1.4243623269231696, 1.4544586664751957, 1.4672833226229016, 1.4516748848714327, 1.4217698417211835, 1.4294017208249945, 1.4530358941931474, 1.4255420283267373, 1.442214652111656, 1.435281011619066, 1.4426583647727966, 1.4517324770751752, 1.4509310675294775, 1.4867788443439884, 1.4286056741287834, 1.4017489019193148, 1.3997416198253632]","[1.8188160457343698, 1.6677885100106213, 1.798129605355664, 1.812160119832119, 1.6747609388048403, 1.6110354026901388, 1.6699434062030827, 1.69842274723766, 1.6927031089212292, 1.716361442458964, 1.7379325617139585, 1.7569019059154476, 1.7071142764849083, 1.6650802888602854, 1.677773695125758, 1.657817008339356, 1.696947645918231, 1.6746698695922566, 1.661128691423719, 1.8093488940568727, 1.6729438939941264, 1.646399515811528, 1.7385136668927201, 1.6479233525623784, 1.6815217644254739, 1.8571322198226072]"
8,"[1.531282956662931, 1.4393881763282574, 1.4426991265071065, 1.4450307096305646, 1.4653373109666925, 1.4373900811923177, 1.4573472895120319, 1.4922012278908177, 1.46185029964698, 1.4183147330033152, 1.4256876111030579, 1.4666247148262828, 1.4545824214031822, 1.4509093588904332, 1.4310802268354517, 1.4141782004582255, 1.4229201580348767, 1.409824954835992, 1.4370599059682143, 1.4161595937452818, 1.43013901302689]","[1.6761379999535106, 1.753194608420969, 1.6314525604248047, 1.747708574633732, 1.7163390812472763, 1.7604708482171887, 1.7458115693564726, 1.7451789512812534, 1.747054838688574, 1.6827325676089135, 1.6391646650349982, 1.7679014150227341, 1.8133402249523412, 1.8027460363423713, 1.7863277921052736, 1.7933714980276945, 1.7063024233434803, 1.7098673972013956, 1.6582509847444908, 1.6877339265056859, 1.687324169640229]"
9,"[1.470809186759748, 1.5105175595534475, 1.4869288394325657, 1.4503215614118075, 1.4577063604405052, 1.4524766034201573, 1.4720575621253567, 1.4233395802347284, 1.4573914032233388, 1.4555021446002157, 1.4281506256053322, 1.3970461142690558, 1.4495834284707119, 1.4376190634150254, 1.4167343111414659, 1.413213444383521, 1.3946371141232943, 1.4138156254040568, 1.3958197455657155, 1.4195375615044643, 1.4118494438497644, 1.418858904587595, 1.4233745054194802, 1.394918292760849, 1.416541626578883, 1.4253618717193604, 1.41141057328174, 1.403527724115472, 1.4125202909896248, 1.4058188576447337, 1.4344001459447961, 1.4087477044055337, 1.3865294472167367, 1.416817003174832, 1.3987887360547717, 1.3985246012085362, 1.4339000865032798, 1.4114487265285693, 1.3972034187693345, 1.4263735099842674, 1.4088462355889773, 1.4350801078896773, 1.4688533638653003, 1.3909558293066526, 1.3900207971271716]","[1.756119277989753, 1.8381264209747314, 1.762751004406225, 1.7617404160098495, 1.672823660841612, 1.677596383005659, 1.6716162501094498, 1.6511773973981911, 1.7601945957290792, 1.6659844512137296, 1.7242586456726645, 1.7578088947545703, 1.7413252257855139, 1.7163383336824791, 1.710530048218843, 1.6466699014200228, 1.6507369948324757, 1.6276389705800565, 1.8557924344160845, 1.7801945866825424, 1.7692717692562352, 1.6963935444288165, 1.68818364633578, 1.7062985763371548, 1.6114298640010514, 1.6200672588615774, 1.7876104740338905, 1.6901581376512473, 1.6894979900288805, 1.7561669683902064, 1.758094881182519, 1.7972178091512663, 1.6859506725150848, 1.732955029077619, 1.6531848773778042, 1.7633997614138595, 1.6217323731039173, 1.8171044688358484, 1.7748772162143316, 1.789114132105747, 1.8962486157907503, 1.7433385091407276, 1.72817469757294, 1.6783518924891392, 1.9177543169984193]"
